Trial #,Training AUC,Validation AUC,SF Testing AUC
0,0.978378392,0.902255639,0.715277778
1,0.978896816,0.90075188,0.635416667
2,0.968107334,0.834658188,0.628472222
3,0.9971262,0.897435897,0.637152778
4,0.981013027,0.903318903,0.663194444
5,0.980289534,0.87037037,0.680555556
6,0.979868044,0.933333333,0.642361111
7,0.998888889,0.96875,0.682291667
8,0.978246313,0.912037037,0.618055556
9,0.978394449,0.942766296,0.652777778
